Date,File,Seq Codes,Divisor,Bypass,Sequences,Success,Turnover,Profit (Chips),Profit (Units),Worst Loss,Status
2025-11-04 18:37:01,2011-10-24_559.xls,"Alternative (8, 44, 10)",32,No,34,✓,915,93,23,-105 chips,ACTIVE
2025-11-04 18:36:40,2011-10-23_127.xls,"Alternative (8, 44, 10)",32,No,11,✓,235,23,5,-12 chips,ACTIVE
2025-11-04 18:36:23,2011-10-22d_65.xls,"Alternative (8, 44, 10)",32,No,5,✓,107,4,1,-19 chips,ACTIVE
2025-11-04 18:36:06,2011-10-22c_48.xls,"Alternative (8, 44, 10)",32,No,5,✓,282,6,1,-78 chips,ACTIVE
2025-11-04 18:35:51,2011-10-22b_207.xls,"Alternative (8, 44, 10)",32,No,11,✓,275,43,10,-10 chips,ACTIVE
2025-11-04 18:35:37,2011-10-22a_167.xls,"Alternative (8, 44, 10)",32,No,10,✓,520,26,6,-130 chips,ACTIVE
2025-11-04 18:35:20,2011-10-21_188.xls,"Alternative (8, 44, 10)",32,No,10,✗,274,31,7,-6 chips,ACTIVE
2025-11-04 18:35:04,2011-10-20_108.xls,"Alternative (8, 44, 10)",32,No,8,✗,201,16,4,-27 chips,ACTIVE
2025-11-04 18:34:49,2011-10-19_95.xls,"Alternative (8, 44, 10)",32,No,5,✓,248,13,3,-46 chips,ACTIVE
2025-11-04 18:34:33,2011-10-18_81.xls,"Alternative (8, 44, 10)",32,No,7,✓,133,20,5,-11 chips,ACTIVE
2025-11-04 18:34:12,2011-10-17_184.xls,"Alternative (8, 44, 10)",32,No,11,✓,422,31,7,-34 chips,ACTIVE
2025-11-04 18:33:59,2011-10-16_268.xls,"Alternative (8, 44, 10)",32,No,12,✓,472,53,13,-35 chips,ACTIVE
2025-11-04 18:33:46,2011-10-15_283.xls,"Alternative (8, 44, 10)",32,No,22,✓,432,45,11,-8 chips,ACTIVE
2025-11-04 18:33:27,2011-10-14_216.xls,"Alternative (8, 44, 10)",32,No,14,✓,204,33,8,0 chips,ACTIVE
2025-11-04 18:33:11,2011-10-13_206.xls,"Alternative (8, 44, 10)",32,No,14,✓,379,35,8,-9 chips,ACTIVE
2025-11-04 18:33:00,2011-10-12_121.xls,"Alternative (8, 44, 10)",32,No,4,✓,1490,7,1,-989 chips,ACTIVE
2025-11-04 18:32:51,2011-10-11_69.xls,"Alternative (8, 44, 10)",32,No,7,✓,92,13,3,-17 chips,ACTIVE
2025-11-04 18:32:36,2011-10-10_169.xls,"Alternative (8, 44, 10)",32,No,10,✓,218,37,9,0 chips,ACTIVE
2025-11-04 18:32:21,2011-10-07_115.xls,"Alternative (8, 44, 10)",32,No,8,✗,136,22,5,0 chips,ACTIVE
2025-11-04 18:32:06,2011-10-06_117.xls,"Alternative (8, 44, 10)",32,No,9,✓,209,16,4,-37 chips,ACTIVE
2025-11-04 18:31:49,2011-10-05_100.xls,"Alternative (8, 44, 10)",32,No,9,✓,164,15,3,-24 chips,ACTIVE
2025-11-04 18:31:30,2011-10-03_246.xls,"Alternative (8, 44, 10)",32,No,14,✓,1001,46,11,-311 chips,ACTIVE
2025-11-04 18:31:15,2011-10-02_263.xls,"Alternative (8, 44, 10)",32,No,14,✗,1659,38,9,-379 chips,ACTIVE
2025-11-04 18:30:10,2011-10-01_203.xls,"Alternative (8, 44, 10)",32,No,10,✗,404,27,6,-44 chips,ACTIVE
2025-11-03 07:12:34,2011-09-30_200.xls,"Alternative (8, 44, 10)",32,No,9,✓,107,16,4,-7 chips,ACTIVE
2025-11-03 07:12:22,2011-09-29_87.xls,"Alternative (8, 44, 10)",32,No,9,✓,107,16,4,-7 chips,ACTIVE
2025-11-03 07:12:10,2011-09-28_142.xls,"Alternative (8, 44, 10)",32,No,10,✗,301,16,4,-57 chips,ACTIVE
2025-11-03 07:11:59,2011-09-27_72.xls,"Alternative (8, 44, 10)",32,No,5,✓,114,9,2,-20 chips,ACTIVE
2025-11-03 07:11:46,2011-09-26_87.xls,"Alternative (8, 44, 10)",32,No,6,✗,188,15,3,-36 chips,ACTIVE
2025-11-03 07:11:35,2011-09-24_189.xls,"Alternative (8, 44, 10)",32,No,15,✓,366,42,10,-10 chips,ACTIVE
