Date,File,Seq Codes,Divisor,Bypass,Sequences,Profit (Chips),Profit (Units),Worst Loss,Status
2025-10-31 08:49:07,2011-09-12_174.xls,"Alternative (8, 44, 10)",8,Yes,12,34,8,-48 chips,ACTIVE
2025-10-31 08:27:05,2011-10-11_69.xls,"Alternative (8, 44, 10)",32,Yes,7,13,3,-17 chips,ACTIVE
2025-10-31 08:26:55,2011-10-11_69.xls,"Alternative (8, 44, 10)",16,Yes,7,13,3,-17 chips,ACTIVE
2025-10-31 08:26:47,2011-10-11_69.xls,"Alternative (8, 44, 10)",8,Yes,7,13,3,-17 chips,ACTIVE
2025-10-31 08:26:03,2011-10-10_169.xls,"Alternative (8, 44, 10)",32,Yes,10,37,9,0 chips,ACTIVE
2025-10-31 08:25:55,2011-10-10_169.xls,"Alternative (8, 44, 10)",16,Yes,10,37,9,0 chips,ACTIVE
2025-10-31 08:25:46,2011-10-10_169.xls,"Alternative (8, 44, 10)",8,Yes,10,37,9,0 chips,ACTIVE
2025-10-31 08:25:24,2011-10-07_115.xls,"Alternative (8, 44, 10)",32,Yes,8,22,5,0 chips,ACTIVE
2025-10-31 08:25:16,2011-10-07_115.xls,"Alternative (8, 44, 10)",16,Yes,8,22,5,0 chips,ACTIVE
2025-10-31 08:25:07,2011-10-07_115.xls,"Alternative (8, 44, 10)",8,Yes,8,22,5,0 chips,ACTIVE
2025-10-31 08:24:47,2011-10-06_117.xls,"Alternative (8, 44, 10)",32,Yes,9,16,4,-37 chips,ACTIVE
2025-10-31 08:24:38,2011-10-06_117.xls,"Alternative (8, 44, 10)",16,Yes,9,14,3,-104 chips,ACTIVE
2025-10-31 08:24:29,2011-10-06_117.xls,"Alternative (8, 44, 10)",8,Yes,9,14,3,-214 chips,ACTIVE
2025-10-31 08:22:42,2011-10-05_100.xls,"Alternative (8, 44, 10)",32,Yes,9,15,3,-24 chips,ACTIVE
2025-10-31 08:22:26,2011-10-05_100.xls,"Alternative (8, 44, 10)",16,Yes,9,15,3,-24 chips,ACTIVE
2025-10-31 08:22:19,2011-10-05_100.xls,"Alternative (8, 44, 10)",8,Yes,9,15,3,-39 chips,ACTIVE
2025-10-31 08:12:02,2011-10-03_246.xls,"Alternative (8, 44, 10)",32,No,14,46,11,-311 chips,ACTIVE
2025-10-31 08:11:00,2011-10-03_246.xls,"Alternative (8, 44, 10)",32,Yes,14,46,11,-311 chips,ACTIVE
2025-10-31 08:10:51,2011-10-03_246.xls,"Alternative (8, 44, 10)",16,Yes,14,43,10,-259 chips,ACTIVE
2025-10-31 08:10:43,2011-10-03_246.xls,"Alternative (8, 44, 10)",8,Yes,14,45,11,-341 chips,ACTIVE
