,line,outcome,win,a,b,c,actual bet,negative,positive,balance
0,1,26,W,,,,,,,
1,2,18,W,8,44,10,Bet 1,,,1
2,3,5,W,5,34,12,,,,
3,4,1,L,3,22,14,,,,
4,5,5,W,4,36,18,,,,
5,6,34,W,,,,,,,
6,7,34,W,8,44,10,Bet 1,,,2
7,8,36,L,5,34,12,,,,
8,9,24,L,6,46,14,,,,
9,10,22,L,7,60,16,,,,
10,11,9,L,8,76,18,Bet 1,-2,.3,
11,12,29,W,,,,Bet 2,-1,1,2
12,13,18,W,9,47,10,,,,
13,14,11,L,6,37,12,,,,
14,15,11,L,7,49,14,,,,
15,16,24,L,8,63,14,,,,
16,17,22,L,9,77,16,Bet 1,,,3
17,18,0,L,,,,Bet 1,-2,.3,
18,19,23,L,,,,Bet 2,-3,,
19,20,4,L,,,,Bet 3,-5,,
20,21,4,L,,,,,,,
21,22,0,L,,,,,,,
22,23,19,L,,,,,,,
23,24,20,W,,,,,,,
24,25,31,W,10,47,8,1 units,-4,1,
25,26,7,L,7,39,10,1 units,-5,,
26,27,26,W,8,49,12,1 units,-4,1.1,
27,28,31,W,5,37,14,1 units,-3,1.2,
28,29,8,L,3,23,14,2 units,-5,,
29,30,9,L,4,37,18,3 units,-8,,
30,31,11,L,5,55,22,1 units,-9,,
31,32,16,L,6,77,24,1 units,-10,,
32,33,5,W,,,,,,,
33,34,24,L,7,51,14,1 units,-11,,
34,35,36,L,8,65,16,1 units,-12,,
35,36,8,L,9,81,18,1 units,-13,,
36,37,20,W,10,50,10,1 units,-12,1.3,
37,38,26,W,7,40,10,1 units,-11,2,
38,39,15,L,5,30,12,1 units,-12,,
39,40,22,L,6,42,14,1 units,-13,,
40,41,15,L,7,56,16,2 units,-15,,
41,42,34,W,8,72,18,2 units,-13,2.2,
42,43,10,L,5,54,20,2 units,-15,,
43,44,8,L,6,74,24,3 units,-18,,
44,45,28,W,7,49,14,3 units,-15,3.1,
45,46,6,W,5,35,14,3 units,-12,4,
46,47,9,L,3,21,14,7 units,-19,,
47,48,7,L,4,35,16,12 units,-31,,
48,49,17,W,5,51,20,5 units,-26,5.1,
49,50,31,W,3,31,20,17 units,-9,9.2,5
50,51,1,L,,,,,,,
51,52,29,W,,,,,,,
52,53,13,L,8,44,10,Bet 1,,,6
53,54,24,L,9,54,12,Bet 1,,,7
54,55,4,L,10,66,12,Bet 1,,,8
55,56,21,W,11,78,14,Bet 1,,,9
56,57,23,L,7,64,18,,,,
57,58,14,L,8,82,20,,,,
58,59,25,W,9,51,10,,,,
59,60,6,W,6,41,12,,,,
60,61,13,L,4,29,14,,,,
61,62,20,W,5,43,16,,,,
62,63,14,L,3,27,18,,,,
63,64,7,L,4,45,22,,,,
64,65,2,W,5,67,26,,,,
65,66,32,W,3,41,26,,,,
66,67,28,W,,,,,,,
67,68,5,W,8,44,10,Bet 1,,,10
68,69,5,W,5,34,12,,,,
69,70,33,L,3,22,14,,,,
70,71,15,L,4,36,18,,,,
71,72,13,L,5,54,20,,,,
72,73,3,W,6,74,24,Bet 1,,,11
73,74,14,L,4,50,24,,,,
74,75,27,L,5,74,28,,,,
75,76,5,W,6,51,16,,,,
76,77,29,W,4,35,16,,,,
77,78,14,L,,,,,,,
78,79,8,L,,,,,,,
79,80,35,W,,,,,,,
80,81,28,W,8,44,10,Bet 1,,,12
81,82,26,W,5,34,12,,,,
82,83,17,W,3,22,14,,,,
83,84,30,L,,,,,,,
84,85,7,L,,,,,,,
85,86,2,W,,,,,,,
86,87,25,W,8,44,10,Bet 1,,,13
87,88,29,W,5,34,12,,,,
88,89,22,L,3,22,14,,,,
89,90,7,L,4,36,18,,,,
90,91,28,W,5,54,20,,,,
91,92,18,W,3,34,22,,,,
92,93,10,L,,,,,,,
93,94,32,W,,,,,,,
94,95,33,L,8,44,10,Bet 1,,,14
95,96,15,L,9,54,12,Bet 1,,,15
96,97,29,W,10,66,12,Bet 1,,,16
