Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Final Balance,Final Bank,Profit/Loss,Status,Success
1,2011-09-02_203.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,18,46,261,11,ACTIVE,Yes
2,2011-09-03_86.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,10,33,258,8,ACTIVE,Yes
3,2011-09-04_124.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,42,260,10,ACTIVE,Yes
4,2011-09-05_163.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,6,-1025,-7,-257,ENDED,No
5,2011-09-06_134.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,19,45,261,11,ACTIVE,Yes
6,2011-09-07_106.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,8,21,255,5,ACTIVE,No
7,2011-09-08_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,26,256,6,ACTIVE,No
8,2011-09-09_190.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,22,100,275,25,ACTIVE,Yes
9,2011-09-10_184.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,46,261,11,ACTIVE,Yes
10,2011-09-11_108.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,19,8,252,2,ACTIVE,No
11,2011-09-12_174.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,45,261,11,ACTIVE,Yes
12,2011-09-13_133.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,26,44,261,11,ACTIVE,Yes
13,2011-09-14_160.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,39,259,9,ACTIVE,Yes
14,2011-09-15_99.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,-398,150,-100,ACTIVE,No
15,2011-09-16_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,42,260,10,ACTIVE,Yes
16,2011-09-17_161.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,73,268,18,ACTIVE,Yes
17,2011-09-18_160.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,25,-22,244,-6,ACTIVE,No
18,2011-09-19_121.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,38,259,9,ACTIVE,Yes
19,2011-09-21_130.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,15,253,3,ACTIVE,Yes
20,2011-09-22_139.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,37,259,9,ACTIVE,Yes
21,2011-09-24_189.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,30,6,251,1,ACTIVE,No
22,2011-09-26_87.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,14,31,257,7,ACTIVE,Yes
23,2011-09-27_72.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,27,256,6,ACTIVE,Yes
24,2011-09-28_142.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,28,43,260,10,ACTIVE,Yes
25,2011-09-29_87.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,20,255,5,ACTIVE,No
26,2011-09-30_200.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,20,255,5,ACTIVE,No
27,2011-10-01_203.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,67,266,16,ACTIVE,Yes
28,2011-10-02_263.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,30,27,256,6,ACTIVE,No
29,2011-10-03_246.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,1,-1133,-34,-284,ENDED,No
30,2011-10-05_100.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,40,260,10,ACTIVE,Yes
31,2011-10-06_117.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,27,256,6,ACTIVE,Yes
32,2011-10-07_115.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,28,257,7,ACTIVE,Yes
33,2011-10-10_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,25,15,253,3,ACTIVE,No
34,2011-10-11_69.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,12,27,256,6,ACTIVE,Yes
35,2011-10-12_121.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,9,18,254,4,ACTIVE,Yes
36,2011-10-13_206.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,29,39,259,9,ACTIVE,No
37,2011-10-14_216.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,33,55,263,13,ACTIVE,Yes
38,2011-10-15_283.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,49,79,269,19,ACTIVE,Yes
39,2011-10-16_268.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,29,23,255,5,ACTIVE,No
40,2011-10-17_184.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,55,263,13,ACTIVE,Yes
41,2011-10-18_81.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,45,261,11,ACTIVE,Yes
42,2011-10-19_95.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,22,255,5,ACTIVE,Yes
43,2011-10-20_108.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,-41,239,-11,ACTIVE,No
44,2011-10-21_188.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,22,70,267,17,ACTIVE,Yes
45,2011-10-22a_167.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,36,259,9,ACTIVE,No
46,2011-10-22b_207.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,-63,234,-16,ACTIVE,No
47,2011-10-22c_48.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,13,20,255,5,ACTIVE,Yes
48,2011-10-22d_65.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,10,15,253,3,ACTIVE,Yes
49,2011-10-23_127.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,38,259,9,ACTIVE,Yes
50,2011-10-24_559.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,82,162,290,40,ACTIVE,No
