Batch ID,Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Turnover,Final Balance,Final Bank,Profit/Loss,Status,Success
20251115_041547,1,2011-11-01_282.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,17,1126,50,262,12,ACTIVE,Yes
20251115_041547,2,2011-11-02_206.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,12,242,22,255,5,ACTIVE,No
20251115_041547,3,2011-11-04_205.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,16,274,29,257,7,ACTIVE,Yes
20251115_041547,4,2011-11-05_230.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,15,530,43,260,10,ACTIVE,Yes
20251115_041547,5,2011-11-06_192.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,15,248,37,259,9,ACTIVE,Yes
20251115_041547,6,2011-11-08_130.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,7,188,28,257,7,ACTIVE,Yes
20251115_041547,7,2011-11-09_310.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,18,532,44,261,11,ACTIVE,Yes
20251115_041547,8,2011-11-10_253.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,16,591,48,262,12,ACTIVE,Yes
20251115_041547,9,2011-11-11a_90.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,5,130,17,254,4,ACTIVE,Yes
20251115_041547,10,2011-11-11b_91.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,6,103,14,253,3,ACTIVE,Yes
20251115_041547,11,2011-11-11c_51.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,5,76,11,252,2,ACTIVE,Yes
20251115_041547,12,2011-11-12_303.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,18,394,53,263,13,ACTIVE,Yes
20251115_041547,13,2011-11-13_181.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,11,271,35,258,8,ACTIVE,Yes
20251115_041547,14,2011-11-14_109.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,6,249,15,253,3,ACTIVE,No
20251115_041547,15,2011-11-15_260.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,16,549,27,256,6,ACTIVE,No
20251115_041547,16,2011-11-16_255.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,18,880,47,261,11,ACTIVE,Yes
20251115_041547,17,2011-11-17_155.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,7,248,25,256,6,ACTIVE,Yes
20251115_041547,18,2011-11-18_299.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,22,602,28,257,7,ACTIVE,No
20251115_041547,19,2011-11-19_262.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,18,1397,34,258,8,ACTIVE,Yes
20251115_041547,20,2011-11-20_299.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,14,2023,50,262,12,ACTIVE,Yes
20251115_041547,21,2011-11-21_142.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,12,254,13,253,3,ACTIVE,No
20251115_041547,22,2011-11-22_215.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,15,591,0,250,0,ACTIVE,No
20251115_041547,23,2011-11-23_197.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,13,458,28,257,7,ACTIVE,Yes
20251115_041547,24,2011-11-24_271.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,16,687,45,261,11,ACTIVE,Yes
20251115_041547,25,2011-11-25_294.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,25,346,50,262,12,ACTIVE,Yes
20251115_041547,26,2011-11-26_237.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,15,429,45,261,11,ACTIVE,Yes
20251115_041547,27,2011-11-27_166.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,14,200,31,257,7,ACTIVE,Yes
20251115_041547,28,2011-11-28_156.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,10,360,6,251,1,ACTIVE,No
20251115_041547,29,2011-11-30_158.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,10,149,22,255,5,ACTIVE,Yes
20251115_041547,30,2011-12-01_171.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,11,235,5,251,1,ACTIVE,No
20251115_041547,31,2011-12-02_348.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,19,1122,51,262,12,ACTIVE,Yes
20251115_041547,32,2011-12-03_361.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,20,848,52,263,13,ACTIVE,Yes
20251115_041547,33,2011-12-04_160.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,18,233,28,257,7,ACTIVE,Yes
20251115_041547,34,2011-12-05_120.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,7,366,36,259,9,ACTIVE,Yes
20251115_041547,35,2011-12-06_134.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,8,292,29,257,7,ACTIVE,Yes
20251115_041547,36,2011-12-07_92.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,5,159,0,250,0,ACTIVE,No
20251115_041547,37,2011-12-08_199.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,13,410,37,259,9,ACTIVE,Yes
20251115_041547,38,2011-12-09_253.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,10,814,8,252,2,ACTIVE,No
20251115_041547,39,2011-12-11_227.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,16,540,6,251,1,ACTIVE,No
20251115_041547,40,2011-12-13_113.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,6,267,21,255,5,ACTIVE,Yes
20251115_041547,41,2011-12-14_153.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,8,956,-68,233,-17,ACTIVE,No
20251115_041547,42,2011-12-15_133.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,10,170,28,257,7,ACTIVE,Yes
20251115_041547,43,2011-12-16_132.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,10,233,28,257,7,ACTIVE,Yes
20251115_041547,44,2011-12-17_127.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,9,218,22,255,5,ACTIVE,Yes
20251115_041547,45,2011-12-18_190.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,13,941,34,258,8,ACTIVE,Yes
20251115_041547,46,2011-12-19_95.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,6,89,10,252,2,ACTIVE,Yes
20251115_041547,47,2011-12-23_185b.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,12,518,19,254,4,ACTIVE,Yes
20251115_041547,48,2011-12-23_281.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,16,1135,35,258,8,ACTIVE,Yes
20251115_041547,49,2011-12-23_96a.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,4,617,16,254,4,ACTIVE,Yes
20251115_041547,50,2011-12-24_162.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,9,1991,19,254,4,ACTIVE,Yes
20251115_041547,51,2011-12-25_171a.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,11,371,7,251,1,ACTIVE,No
20251115_041547,52,2011-12-25_45c.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,3,35,7,251,1,ACTIVE,Yes
20251115_041547,53,2011-12-25_95b.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,8,117,15,253,3,ACTIVE,Yes
20251115_041547,54,2011-12-30_116.xls,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,0,10,355,20,255,5,ACTIVE,Yes
