SUMMARY
Total Turnover:,23,828
Total Balance:,+13
Total Profit/Loss:,-40

Batch ID,Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Turnover,Final Balance,Final Bank,Profit/Loss,Status,Success
20251117_151433,1,2011-09-02_203.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,18,40,8,252,2,ACTIVE,Yes
20251117_151433,2,2011-09-03_86.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,10,142,8,252,2,ACTIVE,Yes
20251117_151433,3,2011-09-04_124.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,20,10,2,250,0,ACTIVE,Yes
20251117_151433,4,2011-09-05_163.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,16,1769,13,253,3,ACTIVE,Yes
20251117_151433,5,2011-09-06_134.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,19,29,4,251,1,ACTIVE,Yes
20251117_151433,6,2011-09-07_106.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,7,142,17,254,4,ACTIVE,Yes
20251117_151433,7,2011-09-08_169.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,15,238,20,255,5,ACTIVE,Yes
20251117_151433,8,2011-09-09_190.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,22,328,23,255,5,ACTIVE,Yes
20251117_151433,9,2011-09-10_184.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,23,127,17,254,4,ACTIVE,Yes
20251117_151433,10,2011-09-11_108.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,19,25,5,251,1,ACTIVE,Yes
20251117_151433,11,2011-09-12_174.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,27,104,10,252,2,ACTIVE,Yes
20251117_151433,12,2011-09-13_133.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,26,10,2,250,0,ACTIVE,Yes
20251117_151433,13,2011-09-14_160.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,15,312,15,253,3,ACTIVE,Yes
20251117_151433,14,2011-09-15_99.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,11,179,-74,231,-19,ACTIVE,No
20251117_151433,15,2011-09-16_169.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,27,138,3,250,0,ACTIVE,Yes
20251117_151433,16,2011-09-17_161.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,17,81,12,253,3,ACTIVE,Yes
20251117_151433,17,2011-09-18_160.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,25,64,10,252,2,ACTIVE,Yes
20251117_151433,18,2011-09-19_121.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,21,5,1,250,0,ACTIVE,Yes
20251117_151433,19,2011-09-21_130.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,11,139,11,252,2,ACTIVE,Yes
20251117_151433,20,2011-09-22_139.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,11,389,7,251,1,ACTIVE,Yes
20251117_151433,21,2011-09-24_189.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,30,112,14,253,3,ACTIVE,Yes
20251117_151433,22,2011-09-26_87.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,13,94,17,254,4,ACTIVE,Yes
20251117_151433,23,2011-09-27_72.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,11,0,0,250,0,ACTIVE,Yes
20251117_151433,24,2011-09-28_142.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,28,5,1,250,0,ACTIVE,Yes
20251117_151433,25,2011-09-29_87.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,21,0,0,250,0,ACTIVE,Yes
20251117_151433,26,2011-09-30_200.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,21,0,0,250,0,ACTIVE,Yes
20251117_151433,27,2011-10-01_203.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,21,109,11,252,2,ACTIVE,Yes
20251117_151433,28,2011-10-02_263.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,28,821,-5,248,-2,ACTIVE,No
20251117_151433,29,2011-10-03_246.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,29,327,21,255,5,ACTIVE,Yes
20251117_151433,30,2011-10-05_100.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,20,5,1,250,0,ACTIVE,Yes
20251117_151433,31,2011-10-06_117.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,17,105,6,251,1,ACTIVE,Yes
20251117_151433,32,2011-10-07_115.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,17,108,15,253,3,ACTIVE,Yes
20251117_151433,33,2011-10-10_169.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,25,56,6,251,1,ACTIVE,Yes
20251117_151433,34,2011-10-11_69.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,12,0,0,250,0,ACTIVE,Yes
20251117_151433,35,2011-10-12_121.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,9,507,9,252,2,ACTIVE,Yes
20251117_151433,36,2011-10-13_206.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,29,62,7,251,1,ACTIVE,Yes
20251117_151433,37,2011-10-14_216.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,33,118,17,254,4,ACTIVE,Yes
20251117_151433,38,2011-10-15_283.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,49,224,19,254,4,ACTIVE,Yes
20251117_151433,39,2011-10-16_268.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,30,423,30,257,7,ACTIVE,No
20251117_151433,40,2011-10-17_184.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,20,282,26,256,6,ACTIVE,Yes
20251117_151433,41,2011-10-18_81.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,15,47,7,251,1,ACTIVE,Yes
20251117_151433,42,2011-10-19_95.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,15,34,5,251,1,ACTIVE,Yes
20251117_151433,43,2011-10-20_108.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,15,97,-37,240,-10,ACTIVE,No
20251117_151433,44,2011-10-21_188.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,22,144,27,256,6,ACTIVE,Yes
