SUMMARY
Total Turnover:,176058
Total Balance:,+7142
Total Profit/Loss:,+1726

Batch ID,Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Turnover,Final Balance,Final Bank,Profit/Loss,Status,Success
20251117_160344,1,2011-09-02_203.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,507,69,267,17,ACTIVE,Yes
20251117_160344,2,2011-09-03_86.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,468,45,261,11,ACTIVE,Yes
20251117_160344,3,2011-09-04_124.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,434,51,262,12,ACTIVE,Yes
20251117_160344,4,2011-09-05_163.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,2133,29,257,7,ACTIVE,Yes
20251117_160344,5,2011-09-06_134.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,634,35,258,8,ACTIVE,No
20251117_160344,6,2011-09-07_106.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,1142,18,254,4,ACTIVE,No
20251117_160344,7,2011-09-08_169.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,1369,33,258,8,ACTIVE,No
20251117_160344,8,2011-09-09_190.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,1344,98,274,24,ACTIVE,Yes
20251117_160344,9,2011-09-10_184.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,13,1303,122,280,30,ACTIVE,Yes
20251117_160344,10,2011-09-11_108.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,661,26,256,6,ACTIVE,No
20251117_160344,11,2011-09-12_174.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,1106,73,268,18,ACTIVE,Yes
20251117_160344,12,2011-09-13_133.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,813,72,268,18,ACTIVE,Yes
20251117_160344,13,2011-09-14_160.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,1901,52,263,13,ACTIVE,Yes
20251117_160344,14,2011-09-15_99.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,510,30,257,7,ACTIVE,Yes
20251117_160344,15,2011-09-16_169.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,1401,75,268,18,ACTIVE,Yes
20251117_160344,16,2011-09-17_161.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,1440,80,270,20,ACTIVE,Yes
20251117_160344,17,2011-09-18_160.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,1005,-273,181,-69,ACTIVE,No
20251117_160344,18,2011-09-19_121.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,532,65,266,16,ACTIVE,Yes
20251117_160344,19,2011-09-21_130.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,1222,7,251,1,ACTIVE,No
20251117_160344,20,2011-09-22_139.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,1404,42,260,10,ACTIVE,Yes
20251117_160344,21,2011-09-24_189.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,15,1391,93,273,23,ACTIVE,No
20251117_160344,22,2011-09-26_87.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,631,32,258,8,ACTIVE,No
20251117_160344,23,2011-09-27_72.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,300,27,256,6,ACTIVE,Yes
20251117_160344,24,2011-09-28_142.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,652,59,264,14,ACTIVE,No
20251117_160344,25,2011-09-29_87.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,327,45,261,11,ACTIVE,Yes
20251117_160344,26,2011-09-30_200.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,327,45,261,11,ACTIVE,Yes
20251117_160344,27,2011-10-01_203.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,1069,80,270,20,ACTIVE,Yes
20251117_160344,28,2011-10-02_263.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,16,2666,21,255,5,ACTIVE,No
20251117_160344,29,2011-10-03_246.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,15,2047,105,276,26,ACTIVE,Yes
20251117_160344,30,2011-10-05_100.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,439,43,260,10,ACTIVE,Yes
20251117_160344,31,2011-10-06_117.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,796,35,258,8,ACTIVE,Yes
20251117_160344,32,2011-10-07_115.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,929,38,259,9,ACTIVE,Yes
20251117_160344,33,2011-10-10_169.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,942,18,254,4,ACTIVE,No
20251117_160344,34,2011-10-11_69.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,328,41,260,10,ACTIVE,Yes
20251117_160344,35,2011-10-12_121.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,1706,22,255,5,ACTIVE,Yes
20251117_160344,36,2011-10-13_206.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,14,1181,103,275,25,ACTIVE,Yes
20251117_160344,37,2011-10-14_216.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,14,2016,60,265,15,ACTIVE,No
20251117_160344,38,2011-10-15_283.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,22,2172,135,283,33,ACTIVE,Yes
20251117_160344,39,2011-10-16_268.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,15,1898,82,270,20,ACTIVE,No
20251117_160344,40,2011-10-17_184.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,1418,-5,248,-2,ACTIVE,No
20251117_160344,41,2011-10-18_81.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,334,56,264,14,ACTIVE,Yes
20251117_160344,42,2011-10-19_95.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,627,30,257,7,ACTIVE,Yes
20251117_160344,43,2011-10-20_108.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,477,-69,232,-18,ACTIVE,No
20251117_160344,44,2011-10-21_188.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,1008,102,275,25,ACTIVE,Yes
20251117_160344,45,2011-10-22a_167.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,971,55,263,13,ACTIVE,No
20251117_160344,46,2011-10-22b_207.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,1436,-29,242,-8,ACTIVE,No
20251117_160344,47,2011-10-22c_48.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,182,28,257,7,ACTIVE,Yes
20251117_160344,48,2011-10-22d_65.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,256,23,255,5,ACTIVE,Yes
20251117_160344,49,2011-10-23_127.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,754,62,265,15,ACTIVE,Yes
20251117_160344,50,2011-10-24_559.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,39,4440,290,322,72,ACTIVE,Yes
20251117_160344,51,2011-11-01_282.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,17,2656,101,275,25,ACTIVE,Yes
20251117_160344,52,2011-11-02_206.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,13,2155,-129,217,-33,ACTIVE,No
20251117_160344,53,2011-11-04_205.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,17,1008,98,274,24,ACTIVE,Yes
20251117_160344,54,2011-11-05_230.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,16,2025,44,261,11,ACTIVE,No
20251117_160344,55,2011-11-06_192.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,15,1528,72,268,18,ACTIVE,Yes
20251117_160344,56,2011-11-08_130.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,712,86,271,21,ACTIVE,Yes
20251117_160344,57,2011-11-09_310.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,18,2908,118,279,29,ACTIVE,Yes
20251117_160344,58,2011-11-10_253.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,18,1541,160,290,40,ACTIVE,Yes
20251117_160344,59,2011-11-11a_90.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,975,22,255,5,ACTIVE,Yes
20251117_160344,60,2011-11-11b_91.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,341,40,260,10,ACTIVE,Yes
20251117_160344,61,2011-11-11c_51.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,207,33,258,8,ACTIVE,Yes
20251117_160344,62,2011-11-12_303.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,20,2422,131,282,32,ACTIVE,No
20251117_160344,63,2011-11-13_181.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,1920,-345,163,-87,ACTIVE,No
20251117_160344,64,2011-11-14_109.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,508,86,271,21,ACTIVE,Yes
20251117_160344,65,2011-11-15_260.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,17,1603,132,283,33,ACTIVE,No
20251117_160344,66,2011-11-16_255.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,19,1572,-39,240,-10,ACTIVE,No
20251117_160344,67,2011-11-17_155.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,680,88,272,22,ACTIVE,Yes
20251117_160344,68,2011-11-18_299.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,22,2390,99,274,24,ACTIVE,No
20251117_160344,69,2011-11-19_262.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,20,2045,148,287,37,ACTIVE,Yes
20251117_160344,70,2011-11-20_299.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,16,2943,36,259,9,ACTIVE,No
20251117_160344,71,2011-11-21_142.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,680,55,263,13,ACTIVE,No
20251117_160344,72,2011-11-22_215.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,17,1480,119,279,29,ACTIVE,Yes
20251117_160344,73,2011-11-23_197.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,13,1426,134,283,33,ACTIVE,Yes
20251117_160344,74,2011-11-24_271.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,17,2334,76,269,19,ACTIVE,Yes
20251117_160344,75,2011-11-25_294.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,25,2292,144,286,36,ACTIVE,Yes
20251117_160344,76,2011-11-26_237.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,15,1299,102,275,25,ACTIVE,No
20251117_160344,77,2011-11-27_166.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,14,763,92,273,23,ACTIVE,Yes
20251117_160344,78,2011-11-28_156.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,949,44,261,11,ACTIVE,No
20251117_160344,79,2011-11-30_158.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,771,84,271,21,ACTIVE,Yes
20251117_160344,80,2011-12-01_171.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,759,42,260,10,ACTIVE,No
20251117_160344,81,2011-12-02_348.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,20,2805,120,280,30,ACTIVE,Yes
20251117_160344,82,2011-12-03_361.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,22,4276,106,276,26,ACTIVE,Yes
20251117_160344,83,2011-12-04_160.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,19,706,89,272,22,ACTIVE,Yes
20251117_160344,84,2011-12-05_120.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,743,46,261,11,ACTIVE,No
20251117_160344,85,2011-12-06_134.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,1090,48,262,12,ACTIVE,Yes
20251117_160344,86,2011-12-07_92.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,572,25,256,6,ACTIVE,No
20251117_160344,87,2011-12-08_199.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,13,1176,87,271,21,ACTIVE,No
20251117_160344,88,2011-12-09_253.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,2601,-162,209,-41,ACTIVE,No
20251117_160344,89,2011-12-11_227.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,17,1452,96,274,24,ACTIVE,No
20251117_160344,90,2011-12-13_113.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,734,22,255,5,ACTIVE,No
20251117_160344,91,2011-12-14_153.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,1603,-134,216,-34,ACTIVE,No
20251117_160344,92,2011-12-15_133.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,787,71,267,17,ACTIVE,Yes
20251117_160344,93,2011-12-16_132.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,886,77,269,19,ACTIVE,Yes
20251117_160344,94,2011-12-17_127.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,983,61,265,15,ACTIVE,Yes
20251117_160344,95,2011-12-18_190.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,14,1664,83,270,20,ACTIVE,Yes
20251117_160344,96,2011-12-19_95.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,449,40,260,10,ACTIVE,Yes
20251117_160344,97,2011-12-23_185b.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,1757,87,271,21,ACTIVE,Yes
20251117_160344,98,2011-12-23_281.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,17,2251,110,277,27,ACTIVE,Yes
20251117_160344,99,2011-12-23_96a.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,602,22,255,5,ACTIVE,Yes
20251117_160344,100,2011-12-24_162.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,1718,46,261,11,ACTIVE,Yes
20251117_160344,101,2011-12-25_171a.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,1194,93,273,23,ACTIVE,Yes
20251117_160344,102,2011-12-25_45c.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,3,414,21,255,5,ACTIVE,Yes
20251117_160344,103,2011-12-25_95b.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,601,38,259,9,ACTIVE,Yes
20251117_160344,104,2011-12-30_116.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,773,49,262,12,ACTIVE,Yes
20251117_160344,105,2012-01-01_133.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,1795,26,256,6,ACTIVE,Yes
20251117_160344,106,2012-01-02_102.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,1662,21,255,5,ACTIVE,Yes
20251117_160344,107,2012-01-03_127.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,1320,-261,184,-66,ACTIVE,No
20251117_160344,108,2012-01-08_90.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,324,48,262,12,ACTIVE,Yes
20251117_160344,109,2012-01-09_90.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,390,48,262,12,ACTIVE,Yes
20251117_160344,110,2012-01-10_106.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,786,39,259,9,ACTIVE,Yes
20251117_160344,111,2012-01-11_120.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,474,51,262,12,ACTIVE,Yes
20251117_160344,112,2012-01-12_53b.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,162,6,251,1,ACTIVE,No
20251117_160344,113,2012-01-12_92a.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,9,366,60,265,15,ACTIVE,Yes
20251117_160344,114,2012-01-14_219.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,2519,83,270,20,ACTIVE,Yes
20251117_160344,115,2012-01-18_133.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,1453,35,258,8,ACTIVE,No
20251117_160344,116,2012-01-19_31b.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,3,81,12,253,3,ACTIVE,Yes
20251117_160344,117,2012-01-19_42.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,204,12,253,3,ACTIVE,Yes
20251117_160344,118,2012-01-20_43.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,220,17,254,4,ACTIVE,Yes
20251117_160344,119,2012-01-21_53.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,2,505,-58,235,-15,ACTIVE,No
20251117_160344,120,2012-01-21_81b.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,409,14,253,3,ACTIVE,No
20251117_160344,121,2012-01-22_176.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,980,73,268,18,ACTIVE,Yes
20251117_160344,122,2012-01-24_86.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,657,36,259,9,ACTIVE,Yes
20251117_160344,123,2012-01-25_52.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,3,220,25,256,6,ACTIVE,Yes
20251117_160344,124,2012-01-25b_43.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,138,21,255,5,ACTIVE,Yes
20251117_160344,125,2012-01-26a_71.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,5,902,32,258,8,ACTIVE,Yes
20251117_160344,126,2012-01-26b_74.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,863,20,255,5,ACTIVE,Yes
20251117_160344,127,2012-01-27a_103.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,1062,33,258,8,ACTIVE,Yes
20251117_160344,128,2012-01-27b_57.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,212,31,257,7,ACTIVE,Yes
20251117_160344,129,2012-01-28a_73.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,3,783,12,253,3,ACTIVE,Yes
20251117_160344,130,2012-01-28b_48.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,3,211,44,261,11,ACTIVE,Yes
20251117_160344,131,2012-01-29_176.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,14,837,117,279,29,ACTIVE,Yes
20251117_160344,132,2012-01-31_104.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,542,-47,238,-12,ACTIVE,No
20251117_160344,133,2012-02-01_61.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,260,46,261,11,ACTIVE,Yes
20251117_160344,134,2012-02-01_70.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,482,27,256,6,ACTIVE,Yes
20251117_160344,135,2012-02-02_79.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,332,49,262,12,ACTIVE,Yes
20251117_160344,136,2012-02-02b_51.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,257,34,258,8,ACTIVE,Yes
20251117_160344,137,2012-02-04a_71.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,6,435,0,250,0,ACTIVE,No
20251117_160344,138,2012-02-04b_96.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,10,461,58,264,14,ACTIVE,Yes
20251117_160344,139,2012-02-05_113.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,746,52,263,13,ACTIVE,Yes
20251117_160344,140,2012-02-06_88.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,4,1034,-8,248,-2,ACTIVE,No
20251117_160344,141,2012-02-07_119.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,7,1454,-42,239,-11,ACTIVE,No
20251117_160344,142,2012-02-07b_36.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,2,142,20,255,5,ACTIVE,Yes
20251117_160344,143,2012-02-08_159.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,11,1051,65,266,16,ACTIVE,No
20251117_160344,144,2012-02-09_111.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,561,36,259,9,ACTIVE,Yes
20251117_160344,145,2012-02-11_139.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,8,570,66,266,16,ACTIVE,No
20251117_160344,146,2012-02-12_121.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,12,581,85,271,21,ACTIVE,Yes
