SUMMARY
Total Turnover:,154351
Total Balance:,-4188
Total Profit/Loss:,-1109

Batch ID,Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Loss Limit,Sequences,Turnover,Final Balance,Final Bank,Profit/Loss,Status,Success
20251118_050142,1,2011-09-02_203.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,8,507,69,267,17,ACTIVE,Yes
20251118_050142,2,2011-09-03_86.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,4,443,37,259,9,ACTIVE,Yes
20251118_050142,3,2011-09-04_124.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,9,610,26,256,6,ACTIVE,No
20251118_050142,4,2011-09-05_163.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,3,1008,-399,150,-100,ENDED,No
20251118_050142,5,2011-09-06_134.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,8,634,35,258,8,ACTIVE,No
20251118_050142,6,2011-09-07_106.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,1,1121,-401,149,-101,ENDED,No
20251118_050142,7,2011-09-08_169.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,9,1197,33,258,8,ACTIVE,No
20251118_050142,8,2011-09-09_190.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,11,1660,101,275,25,ACTIVE,Yes
20251118_050142,9,2011-09-10_184.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,13,829,68,267,17,ACTIVE,Yes
20251118_050142,10,2011-09-11_108.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,10,404,28,257,7,ACTIVE,No
20251118_050142,11,2011-09-12_174.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,12,834,69,267,17,ACTIVE,Yes
20251118_050142,12,2011-09-13_133.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,12,832,83,270,20,ACTIVE,Yes
20251118_050142,13,2011-09-14_160.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,9,2448,42,260,10,ACTIVE,Yes
20251118_050142,14,2011-09-15_99.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,6,721,-61,234,-16,ACTIVE,No
