SUMMARY
Total Turnover:,65332
Total Balance:,+1586
Total Profit/Loss:,+330

Batch ID,Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Loss Limit,Sequences,Turnover,Final Balance,Final Bank,Profit/Loss,Status,Success
20251118_055559,1,2011-09-02_203.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,8,177,21,255,5,ACTIVE,Yes
20251118_055559,2,2011-09-03_86.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,4,142,11,252,2,ACTIVE,Yes
20251118_055559,3,2011-09-04_124.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,9,270,21,255,5,ACTIVE,Yes
20251118_055559,4,2011-09-05_163.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,7,446,22,255,5,ACTIVE,Yes
20251118_055559,5,2011-09-06_134.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,7,459,24,256,6,ACTIVE,Yes
20251118_055559,6,2011-09-07_106.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,5,711,-6,248,-2,ACTIVE,No
20251118_055559,7,2011-09-08_169.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,9,346,11,252,2,ACTIVE,No
20251118_055559,8,2011-09-09_190.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,11,253,35,258,8,ACTIVE,Yes
20251118_055559,9,2011-09-10_184.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,12,1003,35,258,8,ACTIVE,Yes
20251118_055559,10,2011-09-11_108.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,10,151,5,251,1,ACTIVE,No
20251118_055559,11,2011-09-12_174.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,12,394,38,259,9,ACTIVE,Yes
20251118_055559,12,2011-09-13_133.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,12,166,17,254,4,ACTIVE,Yes
20251118_055559,13,2011-09-14_160.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,8,552,18,254,4,ACTIVE,Yes
20251118_055559,14,2011-09-15_99.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,4,209,16,254,4,ACTIVE,Yes
20251118_055559,15,2011-09-16_169.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,11,586,29,257,7,ACTIVE,Yes
20251118_055559,16,2011-09-17_161.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,6,221,28,257,7,ACTIVE,Yes
20251118_055559,17,2011-09-18_160.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,11,238,-16,246,-4,ACTIVE,No
20251118_055559,18,2011-09-19_121.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,9,203,28,257,7,ACTIVE,Yes
20251118_055559,19,2011-09-21_130.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,6,475,-1,249,-1,ACTIVE,No
20251118_055559,20,2011-09-22_139.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,4,1391,16,254,4,ACTIVE,Yes
20251118_055559,21,2011-09-24_189.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,15,371,43,260,10,ACTIVE,Yes
20251118_055559,22,2011-09-26_87.xls,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,200,6,188,-2,249,-1,ACTIVE,No
