Rank,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Files,Success Rate,Turnover,Balance,Profit/Loss
1,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,10,169,69.2%,176058,7142,1726
2,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Ena,Dis,10,169,69.2%,176058,7142,1726
3,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Ena,Ena,10,169,69.2%,176410,7130,1724
4,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Ena,10,169,69.2%,176410,7130,1724
5,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Dis,Dis,10,169,68.0%,164863,6932,1678
6,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Dis,Ena,10,169,68.0%,164959,6926,1677
7,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Dis,Dis,10,169,69.2%,170941,6900,1667
8,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Dis,Dis,10,169,68.6%,164879,6887,1666
9,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Dis,Ena,10,169,68.6%,164975,6881,1665
10,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Dis,Ena,10,169,69.2%,171317,6882,1664
11,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Dis,Dis,10,169,68.0%,171698,6799,1644
12,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Dis,Ena,10,169,68.0%,172266,6785,1640
13,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Ena,Ena,10,169,68.0%,177074,6231,1496
14,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Ena,Ena,10,169,68.0%,177074,6231,1496
15,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Ena,Dis,10,169,68.0%,176602,6209,1491
16,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Ena,Dis,10,169,68.0%,176602,6209,1491
17,"Alternative (8, 44, 10)",16,Dis,Dis,Dis,Dis,Dis,10,169,60.4%,147190,5353,1279
18,"Alternative (8, 44, 10)",16,Dis,Dis,Dis,Dis,Ena,10,169,60.4%,147254,5345,1277
19,"Alternative (8, 44, 10)",16,Dis,Ena,Dis,Dis,Dis,10,169,60.9%,146422,5326,1269
20,"Alternative (8, 44, 10)",16,Dis,Ena,Dis,Dis,Ena,10,169,60.9%,146486,5318,1267
21,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Dis,Dis,15,169,67.5%,182318,5295,1266
22,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Dis,Dis,15,169,67.5%,176322,5281,1262
23,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Dis,Ena,15,169,67.5%,178771,5176,1236
24,"Alternative (8, 44, 10)",16,Ena,Ena,Dis,Dis,Dis,10,169,60.9%,149852,5184,1233
25,"Alternative (8, 44, 10)",16,Ena,Dis,Dis,Dis,Dis,10,169,60.4%,150992,5162,1232
26,"Alternative (8, 44, 10)",16,Ena,Ena,Dis,Dis,Ena,10,169,60.9%,150092,5180,1231
27,"Alternative (8, 44, 10)",16,Ena,Dis,Dis,Dis,Ena,10,169,60.4%,151368,5110,1218
28,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Ena,15,169,70.4%,100720,5026,1186
29,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Dis,15,169,70.4%,100500,5026,1186
30,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Ena,10,169,70.4%,95336,5010,1183
31,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Dis,10,169,70.4%,95336,5010,1183
32,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Dis,15,169,70.4%,95602,5007,1182
33,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Ena,10,169,71.6%,102156,4994,1182
34,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Dis,10,169,71.6%,102156,4994,1182
35,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Dis,10,169,70.4%,91182,4995,1182
36,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Ena,10,169,70.4%,91182,4995,1182
37,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Ena,15,169,70.4%,95662,5007,1182
38,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Dis,10,169,71.6%,104422,4999,1181
39,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Dis,10,169,71.6%,104422,4999,1181
40,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Ena,10,169,71.6%,104470,4999,1181
41,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Ena,10,169,71.6%,104470,4999,1181
42,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Dis,20,169,70.4%,103540,4998,1179
43,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Dis,15,169,70.4%,101076,5000,1179
44,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Ena,10,169,70.4%,91594,4982,1178
45,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Dis,15,169,70.4%,95986,4992,1178
46,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Dis,10,169,70.4%,91562,4982,1178
47,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Ena,15,169,70.4%,96162,4992,1178
48,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Ena,20,169,70.4%,98686,4988,1177
49,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Dis,20,169,70.4%,98470,4988,1177
50,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Ena,10,169,70.4%,95932,4984,1176
51,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Ena,10,169,70.4%,92434,4975,1176
52,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Dis,10,169,70.4%,92402,4975,1176
53,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Dis,15,169,70.4%,96846,4977,1176
54,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Ena,15,169,70.4%,97022,4977,1176
55,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Ena,15,169,70.4%,97022,4977,1176
56,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Dis,10,169,70.4%,95892,4984,1176
57,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Dis,15,169,70.4%,96846,4977,1176
58,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Dis,10,169,70.4%,92402,4975,1176
59,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Ena,10,169,70.4%,92434,4975,1176
60,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Dis,15,169,70.4%,101984,4984,1175
61,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Dis,10,169,70.4%,96812,4982,1175
62,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Dis,10,169,70.4%,96812,4982,1175
63,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Ena,10,169,70.4%,96852,4982,1175
64,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Ena,10,169,70.4%,96852,4982,1175
65,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Dis,15,169,70.4%,101984,4984,1175
66,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Dis,20,169,70.4%,99650,4968,1175
67,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Dis,20,169,70.4%,99650,4968,1175
68,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Dis,20,169,70.4%,98834,4973,1173
69,"Alternative (8, 44, 10)",16,Ena,Ena,Dis,Ena,Dis,10,169,58.6%,152609,4927,1173
70,"Alternative (8, 44, 10)",16,Dis,Ena,Dis,Ena,Dis,10,169,58.6%,152609,4927,1173
71,"Alternative (8, 44, 10)",16,Ena,Ena,Dis,Ena,Ena,10,169,58.6%,152817,4923,1172
72,"Alternative (8, 44, 10)",16,Dis,Ena,Dis,Ena,Ena,10,169,58.6%,152817,4923,1172
73,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Dis,25,169,70.4%,101746,4942,1170
74,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,10,169,71.6%,103220,4951,1170
75,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Dis,25,169,70.4%,100618,4956,1170
76,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Dis,25,169,70.4%,101746,4942,1170
77,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Ena,10,169,71.6%,103268,4951,1170
78,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Dis,25,169,70.4%,100954,4945,1167
79,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Dis,30,169,70.4%,102222,4938,1166
80,"Alternative (8, 44, 10)",16,Dis,Dis,Dis,Ena,Dis,10,169,58.6%,155327,4904,1166
81,"Alternative (8, 44, 10)",16,Ena,Dis,Dis,Ena,Dis,10,169,58.6%,155327,4904,1166
82,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Dis,30,169,70.4%,103318,4918,1164
83,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Dis,30,169,70.4%,103318,4918,1164
84,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Dis,30,169,70.4%,102538,4926,1162
85,"Alternative (8, 44, 10)",16,Dis,Dis,Dis,Ena,Ena,10,169,58.6%,155711,4852,1153
86,"Alternative (8, 44, 10)",16,Ena,Dis,Dis,Ena,Ena,10,169,58.6%,155711,4852,1153
87,"Alternative (8, 44, 10)",16,Dis,Dis,Dis,Dis,Dis,15,169,60.4%,159240,4778,1131
88,"Alternative (8, 44, 10)",16,Ena,Ena,Dis,Dis,Dis,15,169,60.9%,162070,4783,1129
89,"Alternative (8, 44, 10)",16,Ena,Dis,Dis,Dis,Dis,15,169,60.4%,163346,4762,1127
90,"Alternative (8, 44, 10)",16,Dis,Ena,Dis,Dis,Dis,15,169,60.9%,158372,4751,1120
91,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Dis,Ena,10,169,56.8%,131346,4667,1103
92,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Dis,Dis,10,169,56.8%,131314,4667,1103
93,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Dis,Dis,10,169,57.4%,130672,4645,1099
94,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Dis,Ena,10,169,57.4%,130704,4645,1099
95,"Alternative (8, 44, 10)",16,Dis,Ena,Dis,Ena,Dis,15,169,58.6%,163703,4628,1097
96,"Alternative (8, 44, 10)",16,Ena,Ena,Dis,Ena,Dis,15,169,58.6%,163703,4628,1097
97,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Dis,Ena,10,169,57.4%,132876,4629,1095
98,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Dis,Dis,10,169,57.4%,132716,4625,1094
99,"Alternative (8, 44, 10)",16,Dis,Ena,Dis,Dis,Dis,20,169,60.9%,164495,4631,1090
100,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Dis,Dis,10,169,56.8%,133606,4575,1080
101,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Ena,Ena,10,169,57.4%,136200,4521,1074
102,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Ena,Ena,10,169,57.4%,136200,4521,1074
103,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Ena,Dis,10,169,57.4%,136040,4517,1072
104,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Ena,Dis,10,169,57.4%,136040,4517,1072
105,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,15,169,67.5%,186749,4516,1070
106,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Ena,Dis,15,169,67.5%,186749,4516,1070
107,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Dis,Ena,10,169,56.8%,133886,4531,1069
108,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Dis,Dis,15,169,66.3%,183013,4428,1047
109,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Ena,Dis,10,169,56.8%,138238,4367,1031
110,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Ena,Dis,10,169,56.8%,138238,4367,1031
111,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Dis,Dis,15,169,66.3%,176601,4359,1030
112,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Dis,Dis,15,169,56.8%,140738,4360,1027
113,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Dis,Dis,15,169,57.4%,140000,4338,1023
114,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Ena,Ena,10,169,56.8%,138518,4323,1021
115,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Ena,Ena,10,169,56.8%,138518,4323,1021
116,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Dis,Dis,15,169,57.4%,142184,4323,1019
117,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Dis,Ena,15,169,57.4%,143840,4285,1009
118,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Dis,Dis,15,169,56.8%,143170,4273,1005
119,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Dis,Dis,20,169,66.3%,187787,4228,999
120,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Dis,Ena,15,169,66.3%,179226,4228,999
121,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Ena,Dis,15,169,57.4%,145380,4214,996
122,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Ena,Dis,15,169,57.4%,145380,4214,996
123,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Ena,Ena,15,169,57.4%,147036,4176,986
124,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Ena,Ena,15,169,57.4%,147036,4176,986
125,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Dis,Ena,15,169,56.8%,144690,4082,957
126,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Ena,Dis,15,169,56.8%,147686,4072,957
127,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Ena,Dis,15,169,56.8%,147686,4072,957
128,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Ena,15,169,71.0%,111035,4094,956
129,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Ena,15,169,71.0%,111035,4094,956
130,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Ena,15,169,71.0%,108250,4090,953
131,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Dis,Ena,15,169,56.8%,141634,4062,952
132,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Ena,15,169,69.8%,101069,4090,951
133,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Dis,15,169,71.0%,110655,4075,951
134,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Dis,15,169,71.0%,110655,4075,951
135,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Dis,Ena,15,169,57.4%,140896,4040,949
136,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Dis,15,169,71.0%,107922,4072,948
137,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Ena,Dis,20,169,57.4%,150688,4015,948
138,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Ena,Dis,20,169,57.4%,150688,4015,948
139,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Ena,15,169,71.0%,109262,4062,947
140,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Ena,15,169,69.8%,101977,4071,946
141,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Ena,15,169,69.8%,101977,4071,946
142,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Ena,20,169,69.8%,99603,4047,944
143,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Dis,20,169,71.0%,113987,4039,944
144,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Dis,20,169,71.0%,113987,4039,944
145,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Ena,20,169,69.8%,99603,4047,944
146,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,15,169,71.0%,108958,4043,942
147,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Ena,20,169,69.8%,98787,4052,942
148,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Ena,20,169,69.8%,105033,4040,941
149,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Ena,20,169,69.8%,104097,4049,941
150,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Ena,20,169,69.8%,105033,4040,941
151,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Ena,25,169,69.8%,101743,4020,939
152,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Ena,25,169,69.8%,101743,4020,939
153,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Dis,25,169,71.0%,116107,4013,937
154,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Dis,25,169,71.0%,116107,4013,937
